Princess Caraboo,1994,PG,16 Sep 1994,97 min,"Comedy, Drama, History",Michael Austin,"Michael Austin, John Wells","Phoebe Cates, Jim Broadbent, Wendy Hughes","A mysterious young woman speaking a strange language shows up in an English village, where she is taken in by aristocrats who assume she is a foreign princess",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZmYwNTA4N2ItN2ExMi00MDg0LWJhOTYtMTg3ZjY2ZWRiODZmXkEyXkFqcGdeQXVyNjgxNTAwNjQ@._V1_SX300.jpg
The Celluloid Closet,1995,R,15 Mar 1996,102 min,"Documentary, History","Rob Epstein, Jeffrey Friedman","Vito Russo, Rob Epstein, Jeffrey Friedman","Lily Tomlin, Tony Curtis, Susie Bright",A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film.,English,"France, United Kingdom, Germany, United States",Nominated for 5 Primetime Emmys. 7 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZTAzZjQ1ZDktMmZlYS00MTMxLWI4ZWYtM2I0Mjg5OTQ1Y2IzXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Dear Diary,1993,Unrated,30 Sep 1994,100 min,"Biography, Comedy, Drama",Nanni Moretti,Nanni Moretti,"Nanni Moretti, Renato Carpentieri, Antonio Neiwiller",Director Nanni Moretti takes a mordant look at Italian life through three antological vignettes presented as the chapters of an open diary.,"Italian, English, Mandarin","Italy, France",13 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BYWNmODIyY2MtNDM3My00NTA3LWFjOTYtZjY1OTk4YTVmYTM3XkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_SX300.jpg
The Brady Bunch Movie,1995,PG-13,17 Feb 1995,90 min,Comedy,Betty Thomas,"Sherwood Schwartz, Laurice Elehwany, Rick Copp","Shelley Long, Gary Cole, Christine Taylor","The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BNmVmYzkzY2YtZWNkNC00YzVhLTk4MzYtZWMxZWQ0YzBhZmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Home Alone,1990,PG,16 Nov 1990,103 min,"Comedy, Family",Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern","An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",English,United States,Nominated for 2 Oscars. 11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Ghost,1990,PG-13,13 Jul 1990,127 min,"Drama, Fantasy, Romance",Jerry Zucker,Bruce Joel Rubin,"Patrick Swayze, Demi Moore, Whoopi Goldberg","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",English,United States,Won 2 Oscars. 18 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMmE4ZjI3YzctNjM0YS00MjBlLWFmYjItNDRiNTk0ZmRkYjVjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Aladdin,1992,G,25 Nov 1992,90 min,"Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,English,"United States, Japan",Won 2 Oscars. 34 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Terminator 2: Judgment Day,1991,R,03 Jul 1991,137 min,"Action, Sci-Fi",James Cameron,"James Cameron, William Wisher","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","English, Spanish",United States,Won 4 Oscars. 37 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Dances with Wolves,1990,PG-13,21 Nov 1990,181 min,"Adventure, Drama, Western",Kevin Costner,Michael Blake,"Kevin Costner, Mary McDonnell, Graham Greene","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","English, Sioux, Pawnee","United States, United Kingdom",Won 7 Oscars. 54 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_SX300.jpg
Batman,1989,PG-13,23 Jun 1989,126 min,"Action, Adventure",Tim Burton,"Bob Kane, Sam Hamm, Warren Skaaren","Michael Keaton, Jack Nicholson, Kim Basinger","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","English, French, Spanish","United States, United Kingdom",Won 1 Oscar. 10 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg
The Silence of the Lambs,1991,R,14 Feb 1991,118 min,"Crime, Drama, Thriller",Jonathan Demme,"Thomas Harris, Ted Tally","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","English, Latin",United States,Won 5 Oscars. 70 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Snow White and the Seven Dwarfs,1937,Approved,04 Feb 1938,83 min,"Animation, Adventure, Family","William Cottrell, David Hand, Wilfred Jackson","Jacob Grimm, Wilhelm Grimm, Ted Sears","Adriana Caselotti, Harry Stockwell, Lucille La Verne","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",English,United States,Nominated for 1 Oscar. 11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg
Beauty and the Beast,1991,G,22 Nov 1991,84 min,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman, Chris Sanders","Paige O'Hara, Robby Benson, Jesse Corti",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"English, French","United States, Japan",Won 2 Oscars. 33 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Pinocchio,1940,G,23 Feb 1940,88 min,"Animation, Adventure, Comedy","Norman Ferguson, T. Hee, Wilfred Jackson","Carlo Collodi, Ted Sears, Otto Englander","Dickie Jones, Christian Rub, Mel Blanc","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",English,United States,Won 2 Oscars. 7 wins total,https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_SX300.jpg
Pretty Woman,1990,R,23 Mar 1990,119 min,"Comedy, Romance",Garry Marshall,J.F. Lawton,"Richard Gere, Julia Roberts, Jason Alexander","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",English,United States,Nominated for 1 Oscar. 8 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg
The Wild Bunch,1969,R,19 Jun 1969,135 min,"Action, Adventure, Drama",Sam Peckinpah,"Walon Green, Sam Peckinpah, Roy N. Sickner","William Holden, Ernest Borgnine, Robert Ryan","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","English, Spanish, German",United States,Nominated for 2 Oscars. 6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Love and a .45,1994,R,23 Nov 1994,101 min,"Crime, Romance, Thriller",C.M. Talkington,C.M. Talkington,"Gil Bellows, Renée Zellweger, Rory Cochrane","A small time crook flees to Mexico to evade the authorities, loan sharks, and his murderous ex-partner with only his fiancé and a trusted Colt .45.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYTQ1YzE3NzUtOTZmNC00NzE0LWJiZmUtMjhkMjU1MmVhNTZmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
A Great Day in Harlem,1994,Not Rated,24 Feb 1995,60 min,"Documentary, Music",Jean Bach,"Jean Bach, Susan Peehl, Matthew Seig","Dizzy Gillespie, Milt Hinton, Marian McPartland","The documentary compiles interviews of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine.",English,United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZmU2NTNmNzctMTZhZC00YTRlLWJiM2UtMTQxMGEyM2Q4Mzg1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
One Fine Day,1996,PG,20 Dec 1996,108 min,"Comedy, Drama, Romance",Michael Hoffman,"Terrel Seltzer, Ellen Simon","Michelle Pfeiffer, George Clooney, Mae Whitman","The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","English, Spanish",United States,Nominated for 1 Oscar. 4 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjlkODI1ZDYtOTAwMy00ZTMxLThhMzgtMmE4MzFiNzQyYmRmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Candyman: Farewell to the Flesh,1995,R,17 Mar 1995,95 min,"Horror, Thriller",Bill Condon,"Rand Ravich, Mark Kruger, Clive Barker","Tony Todd, Kelly Rowan, Caroline Barclay",The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before.,English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BZDA2ZWE2YTctN2JiNi00NjdmLThhYWQtN2JjY2M4MTNhM2I5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
